               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.025225,            0.008912,                   0,             0.98747,             0.99791,             0.99488,             0.69385,             0.02049,           0.0058824,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.027602,            0.009379,                   0,             0.99804,             0.98734,             0.99488,             0.67286,            0.021417,           0.0058708,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.027687,           0.0089199,                   0,             0.99818,             0.98734,             0.99488,             0.70856,            0.020517,           0.0058203,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.030585,           0.0093557,                   0,             0.99837,             0.98734,             0.99488,             0.70416,            0.021452,           0.0057929,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.024071,           0.0089636,                   0,             0.99841,             0.98734,             0.99488,              0.7181,            0.019636,           0.0057534,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.023327,            0.009367,                   0,                   1,             0.99808,               0.995,               0.657,            0.020872,           0.0057848,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.026468,           0.0095563,                   0,                   1,             0.99844,               0.995,             0.72369,            0.018051,           0.0056508,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.026091,           0.0090613,                   0,                   1,             0.99858,               0.995,             0.66999,            0.019903,           0.0056779,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.026397,           0.0095909,                   0,                   1,              0.9987,               0.995,             0.72799,            0.018118,           0.0055755,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.024806,             0.00814,                   0,                   1,             0.99956,               0.995,             0.71945,             0.01975,           0.0055518,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.02722,           0.0099204,                   0,             0.99996,                   1,               0.995,                0.73,            0.017532,            0.005507,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.02352,           0.0087921,                   0,             0.99901,                   1,               0.995,              0.7227,            0.018329,           0.0055068,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.02579,           0.0096573,                   0,              0.9985,                   1,               0.995,             0.72743,            0.018139,            0.005507,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.024929,           0.0083428,                   0,             0.99852,                   1,               0.995,             0.72354,            0.018181,           0.0055331,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.02199,           0.0089896,                   0,              0.9986,                   1,               0.995,              0.7247,            0.018018,           0.0055041,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.023457,           0.0080141,                   0,             0.99878,                   1,               0.995,             0.70618,            0.017681,           0.0054913,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.023741,           0.0087754,                   0,             0.99879,                   1,               0.995,             0.72175,            0.017336,           0.0054509,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.023824,            0.008482,                   0,             0.99897,                   1,               0.995,             0.73117,            0.017398,           0.0053919,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.02247,           0.0089863,                   0,             0.99904,                   1,               0.995,             0.72892,            0.017683,           0.0053911,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.021757,           0.0074351,                   0,             0.99913,                   1,               0.995,             0.74867,            0.017339,           0.0053414,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.022168,           0.0091041,                   0,             0.99909,                   1,               0.995,             0.74374,            0.017129,           0.0053186,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.022992,           0.0087226,                   0,             0.99915,                   1,               0.995,             0.74657,            0.016992,           0.0052856,                   0,            0.000298,            0.000298,            0.000298
